id,u,v,width,height,time
459,0.3915566,0.8384351,0.0248545,0.03022964,664.25
459,0.3753206,0.8241901,0.01785802,0.02172007,664.2666666666667
459,0.3711925,0.8212333,0.02587545,0.03147139,664.2833333333333
459,0.3793948,0.8359972,0.03121704,0.03796817,664.3
459,0.3923106,0.8567972,0.04225742,0.0513962,664.3166666666667
459,0.4163865,0.8854325,0.04869121,0.05922139,664.3333333333334
459,0.4445295,0.910776,0.04575252,0.05564718,664.35
459,0.4717422,0.9291531,0.04284992,0.05211683,664.3666666666667
459,0.4954949,0.9352646,0.03832013,0.04660741,664.3833333333333
459,0.5167616,0.9320058,0.03785266,0.04603884,664.4
459,0.5355258,0.9240619,0.04053464,0.04930084,664.4166666666666
459,0.5533486,0.9083989,0.04172351,0.05074683,664.4333333333333
459,0.568691,0.888137,0.04273922,0.0519822,664.45
459,0.5844474,0.8658172,0.04237912,0.05154422,664.4666666666667
459,0.5976013,0.8409161,0.04267201,0.05190045,664.4833333333333
459,0.6073885,0.8133832,0.04320941,0.05255407,664.5
459,0.6106615,0.782931,0.04469539,0.05436142,664.5166666666667
459,0.6102364,0.752063,0.04703468,0.05720662,664.5333333333333
459,0.6033402,0.7177746,0.04818271,0.05860292,664.55
459,0.5902577,0.682934,0.04990678,0.06069985,664.5666666666667
459,0.5733836,0.6495223,0.0483368,0.05879033,664.5833333333334
459,0.5535703,0.6220152,0.04615596,0.05613785,664.6
459,0.5322198,0.6000218,0.04550565,0.05534691,664.6166666666667
459,0.5090582,0.5825931,0.04473359,0.05440788,664.6333333333333
459,0.4850968,0.5750551,0.04237897,0.05154404,664.65
459,0.464236,0.5777571,0.04043926,0.04918484,664.6666666666666
459,0.444513,0.583963,0.03910281,0.04755936,664.6833333333333
459,0.4293365,0.5959747,0.03798984,0.0462057,664.7
459,0.4196357,0.6178791,0.0416868,0.05070218,664.7166666666667
459,0.4151066,0.6484076,0.04669255,0.05679049,664.7333333333333
459,0.4154714,0.6803357,0.04771721,0.05803674,664.75
459,0.4246171,0.7164021,0.04904222,0.05964832,664.7666666666667
459,0.4409833,0.7580127,0.05440159,0.06616673,664.7833333333333
459,0.4653483,0.8004168,0.05587606,0.06796007,664.8
459,0.4952948,0.834748,0.05295271,0.0644045,664.8166666666667
459,0.5298583,0.8597522,0.05643904,0.06864481,664.8333333333334
459,0.5698823,0.882302,0.05466034,0.06648143,664.85
459,0.6175981,0.8996195,0.05769072,0.07016718,664.8666666666667
459,0.6633404,0.9042747,0.055083,0.06699549,664.8833333333333
459,0.7060845,0.8955035,0.05564724,0.06768176,664.9
459,0.7471902,0.8790449,0.05394204,0.06560779,664.9166666666666
459,0.7828863,0.8513186,0.05260958,0.06398717,664.9333333333333
459,0.8103996,0.8131541,0.05477274,0.06661814,664.95
459,0.8324397,0.7694946,0.05249864,0.06385224,664.9666666666667
459,0.8448277,0.7218676,0.0521155,0.06338624,664.9833333333333
459,0.8468069,0.6666254,0.05742574,0.0698449,665.0
459,0.839773,0.6061963,0.05989731,0.07285096,665.0166666666667
459,0.8268691,0.5470503,0.05738816,0.06979918,665.0333333333333
459,0.8073759,0.4922257,0.05620947,0.06836558,665.05
459,0.781658,0.4429012,0.05815827,0.07073584,665.0666666666667
459,0.7500986,0.3975186,0.05649488,0.06871272,665.0833333333334
459,0.7138953,0.3608525,0.05438509,0.06614665,665.1
459,0.6733481,0.335826,0.05379921,0.06543407,665.1166666666667
459,0.6302527,0.3179614,0.05559488,0.06761808,665.1333333333333
459,0.5826033,0.302558,0.05673755,0.06900787,665.15
459,0.5335083,0.2930547,0.05722557,0.06960143,665.1666666666666
459,0.4848984,0.292393,0.05796042,0.0704952,665.1833333333333
459,0.4342573,0.3000343,0.05860323,0.07127703,665.2
459,0.3853362,0.3153755,0.05887284,0.07160495,665.2166666666667
459,0.3405569,0.3440708,0.06118377,0.07441565,665.2333333333333
459,0.3013035,0.3893271,0.06316261,0.07682244,665.25
459,0.26741,0.4393992,0.06142468,0.07470866,665.2666666666667
459,0.2418953,0.491369,0.05953904,0.07241522,665.2833333333333
459,0.2249365,0.5486813,0.06046481,0.07354121,665.3
459,0.2150921,0.6088316,0.05997419,0.07294448,665.3166666666667
459,0.2157537,0.6674128,0.05899093,0.07174858,665.3333333333334
459,0.2280502,0.7204846,0.05787911,0.0703963,665.35
459,0.2494038,0.7682942,0.0577265,0.0702107,665.3666666666667
459,0.2788787,0.8096336,0.05823207,0.0708256,665.3833333333333
459,0.317528,0.8427247,0.06092165,0.07409684,665.4
459,0.3638703,0.8721762,0.0637333,0.07751655,665.4166666666666
459,0.4178797,0.8978431,0.06420939,0.07809561,665.4333333333333
459,0.4750734,0.9130122,0.06109447,0.07430703,665.45
459,0.5170144,0.9132527,0.04517104,0.05493993,665.4666666666667
459,0.5802523,0.9112594,0.04397951,0.05349072,665.4833333333333
459,0.6459433,0.8812338,0.05012972,0.06097101,665.5
459,0.6873085,0.8587542,0.06196234,0.07536259,665.5166666666667
459,0.730921,0.8201193,0.06112407,0.07434303,665.5333333333333
459,0.7663204,0.7751237,0.05993652,0.07289866,665.55
459,0.7953945,0.7296758,0.05716766,0.069531,665.5666666666667
459,0.816201,0.6808958,0.0557044,0.06775129,665.5833333333334
459,0.8258682,0.633241,0.05134577,0.06245004,665.6
459,0.8229298,0.5828376,0.02391911,0.02909196,665.6166666666667
459,0.8172341,0.5124306,0.03789723,0.04609305,665.6333333333333
459,0.8008202,0.4647606,0.0429048,0.0521836,665.65
459,0.7705483,0.4077898,0.04393274,0.05343384,665.6666666666666
459,0.7268165,0.3573917,0.06097013,0.07415581,665.6833333333333
459,0.6799579,0.3131111,0.06393448,0.07776123,665.7
459,0.6294569,0.2751976,0.06471734,0.0787134,665.7166666666667
459,0.5752239,0.2445032,0.06230736,0.07578224,665.7333333333333
459,0.5195782,0.2286857,0.05934465,0.07217879,665.75
459,0.4659747,0.2297492,0.06113638,0.07435802,665.7666666666667
459,0.4127583,0.246877,0.06174409,0.07509715,665.7833333333333
459,0.3600784,0.2770806,0.06510308,0.07918256,665.8
459,0.3079862,0.3171446,0.06766708,0.08230107,665.8166666666667
459,0.2592768,0.3633871,0.0674208,0.08200152,665.8333333333334
459,0.2159355,0.4155998,0.06735109,0.08191674,665.85
459,0.1806118,0.47297,0.06673586,0.08116846,665.8666666666667
459,0.1582565,0.5322164,0.06173161,0.07508196,665.8833333333333
459,0.1511228,0.5883303,0.05827585,0.07087885,665.9
459,0.1564204,0.6411492,0.05647161,0.06868442,665.9166666666666
459,0.1741892,0.6866222,0.05553964,0.06755089,665.9333333333333
459,0.2015591,0.7244872,0.05690396,0.06921027,665.95
459,0.2340348,0.7541935,0.03147285,0.03827932,665.9666666666667
