id,u,v,width,height,time
2364,0.2154217,0.8110973,0.01234924,0.0152536,87338.56666666667
,,,,,
2364,0.2130368,0.8226642,0.02703877,0.03339788,87338.63333333333
2364,0.2130551,0.8228819,0.02658161,0.0328332,87338.65
2364,0.2129397,0.823047,0.02562407,0.03165047,87338.66666666667
2364,0.2130144,0.8230942,0.02405497,0.02971235,87338.68333333333
2364,0.2159656,0.8256224,0.0358912,0.04433227,87338.7
2364,0.2159378,0.8255663,0.03599026,0.04445464,87338.71666666666
2364,0.215838,0.8256575,0.03521178,0.04349307,87338.73333333334
2364,0.2156801,0.8254349,0.03406815,0.04208048,87338.75
2364,0.2229726,0.8286473,0.04613904,0.05699026,87338.76666666666
2364,0.2235409,0.8289407,0.0450385,0.05563088,87338.78333333334
2364,0.2254698,0.8297319,0.04124091,0.05094016,87338.8
2364,0.227947,0.8308989,0.0356622,0.04404943,87338.81666666667
2364,0.2411656,0.8341768,0.05096321,0.062949,87338.83333333333
2364,0.2421331,0.8343657,0.04932091,0.06092046,87338.85
2364,0.2438362,0.8348608,0.04670548,0.05768992,87338.86666666667
2364,0.2457975,0.8353052,0.04319195,0.05335006,87338.88333333333
2364,0.2611498,0.8393897,0.0585393,0.07230687,87338.9
2364,0.262351,0.8397482,0.05711285,0.07054494,87338.91666666667
2364,0.2654071,0.8404768,0.05294435,0.06539608,87338.93333333333
2364,0.2693363,0.8414413,0.04773642,0.05896332,87338.95
2364,0.2877975,0.8456009,0.06354854,0.07849421,87338.96666666666
2364,0.2892462,0.8459268,0.06184724,0.07639279,87338.98333333334
2364,0.2925448,0.8467531,0.05729517,0.07077015,87339.0
2364,0.2972156,0.8478648,0.05158079,0.06371183,87339.01666666666
2364,0.3165982,0.8511816,0.06661823,0.08228586,87339.03333333334
2364,0.3181895,0.8514364,0.06478394,0.08002016,87339.05
2364,0.3221703,0.8521608,0.05953201,0.07353306,87339.06666666667
2364,0.3285417,0.8532941,0.052433,0.06476447,87339.08333333333
2364,0.3463738,0.8560588,0.06526085,0.08060924,87339.1
2364,0.3479185,0.8563685,0.06350655,0.07844235,87339.11666666667
2364,0.3516411,0.857003,0.05794101,0.07156788,87339.13333333333
2364,0.358119,0.8579549,0.04977067,0.06147599,87339.15
2364,0.3718467,0.8594257,0.05787241,0.07148314,87339.16666666667
