id,u,v,width,height,time
723,0.002215999,0.1415214,0.01187979,0.01452686,8382.566666666668
723,0.002093174,0.1415094,0.0114657,0.0140205,8382.583333333334
723,0.003517392,0.1434475,0.01474652,0.01803236,8382.6
723,0.005867731,0.1476999,0.02028233,0.02480167,8382.616666666667
723,0.009289155,0.153461,0.02499817,0.03056829,8382.633333333333
723,0.009112209,0.1554066,0.0206969,0.0253086,8382.65
723,0.01500814,0.162476,0.02306635,0.02820602,8382.666666666666
723,0.02432829,0.1717292,0.02225363,0.02721222,8382.683333333332
723,0.03045034,0.1780475,0.02515146,0.03075574,8382.7
723,0.03169964,0.1794272,0.01921091,0.02349151,8382.716666666667
723,0.03899704,0.1867593,0.02425228,0.0296562,8382.733333333334
723,0.04684135,0.1941527,0.02901151,0.03547589,8382.75
723,0.05699788,0.2041626,0.03334313,0.04077269,8382.766666666666
723,0.05880551,0.206012,0.02800923,0.03425028,8382.783333333333
723,0.06724276,0.2136331,0.03094096,0.03783526,8382.8
723,0.07831062,0.2239795,0.03198514,0.03911211,8382.816666666668
723,0.08690523,0.2318061,0.03441173,0.04207939,8382.833333333334
723,0.08928089,0.2341208,0.02899974,0.0354615,8382.85
723,0.09854335,0.2421752,0.03417597,0.0417911,8382.866666666667
723,0.1091878,0.2502136,0.03872922,0.04735892,8382.883333333333
723,0.1198006,0.2580464,0.04581363,0.05602188,8382.9
723,0.1219581,0.2596158,0.04264437,0.05214644,8382.916666666666
723,0.1315628,0.2664375,0.04817607,0.05891072,8382.933333333332
723,0.1433313,0.2744811,0.05351968,0.065445,8382.95
723,0.1559248,0.2831556,0.05618076,0.06869902,8382.966666666667
723,0.1604875,0.2861916,0.05028575,0.06149049,8382.983333333334
723,0.1723008,0.2945685,0.05413355,0.06619565,8383.0
723,0.1865548,0.3047633,0.05745693,0.07025955,8383.016666666666
723,0.2046539,0.3176219,0.0594786,0.07273169,8383.033333333333
723,0.2113069,0.322435,0.04983834,0.06094338,8383.05
723,0.2247222,0.3306661,0.05345646,0.06536768,8383.066666666668
723,0.2384316,0.338107,0.05603225,0.06851742,8383.083333333334
723,0.2526753,0.3453683,0.05767809,0.07052999,8383.1
723,0.2573177,0.3479146,0.05147435,0.06294392,8383.116666666667
723,0.2706302,0.3544369,0.05512494,0.06740794,8383.133333333333
723,0.2870032,0.3617453,0.0616054,0.07533239,8383.15
723,0.3048359,0.3695881,0.06260151,0.07655045,8383.166666666666
723,0.311853,0.372729,0.05475048,0.06695005,8383.183333333332
723,0.328029,0.3794131,0.0614796,0.07517856,8383.2
723,0.341953,0.3846436,0.06599336,0.08069808,8383.216666666667
723,0.3589967,0.3902578,0.06766299,0.08273974,8383.233333333334
723,0.3690498,0.3937416,0.05756707,0.07039423,8383.25
723,0.3846264,0.3975014,0.0618417,0.07562134,8383.266666666666
723,0.3988951,0.4004261,0.06627749,0.08104552,8383.283333333333
723,0.417273,0.4041565,0.06760426,0.08266792,8383.3
723,0.4265571,0.4060973,0.05686021,0.06952988,8383.316666666668
723,0.442647,0.4085524,0.06034968,0.07379686,8383.333333333334
723,0.4575948,0.4107039,0.06251424,0.07644374,8383.35
723,0.4778758,0.4130862,0.06301025,0.07705027,8383.366666666667
723,0.4882386,0.4143653,0.05296125,0.06476214,8383.383333333333
723,0.5045435,0.4153102,0.05466155,0.0668413,8383.4
723,0.5193076,0.4148471,0.05960957,0.07289185,8383.416666666666
723,0.5348948,0.4134752,0.06128302,0.07493818,8383.433333333332
723,0.5414524,0.4133893,0.05424627,0.06633349,8383.45
723,0.5540453,0.4118216,0.05615154,0.06866329,8383.466666666667
723,0.5691336,0.4095544,0.06111191,0.07472894,8383.483333333334
723,0.5846205,0.406808,0.06360534,0.07777795,8383.5
723,0.5913783,0.4057081,0.05621754,0.068744,8383.516666666666
723,0.606597,0.4025768,0.05660915,0.06922287,8383.533333333333
723,0.6194819,0.3988912,0.0583776,0.07138538,8383.55
723,0.6349942,0.392733,0.05813182,0.07108483,8383.566666666668
723,0.6422603,0.389904,0.05006443,0.06121985,8383.583333333334
723,0.6516007,0.3844238,0.05327234,0.06514255,8383.6
723,0.6605668,0.3777682,0.05909133,0.07225812,8383.616666666667
723,0.6714134,0.3688264,0.0632317,0.07732106,8383.633333333333
723,0.676904,0.3646728,0.05561136,0.06800275,8383.65
723,0.6875756,0.354133,0.05886289,0.07197878,8383.666666666666
723,0.6962379,0.344617,0.06246712,0.07638612,8383.683333333332
723,0.7060706,0.3328244,0.06527326,0.07981753,8383.7
723,0.7109827,0.3270828,0.05564949,0.06804938,8383.716666666667
723,0.720369,0.3147907,0.05715178,0.06988641,8383.733333333334
723,0.72861,0.3039492,0.06059786,0.07410034,8383.75
723,0.7379863,0.2917766,0.0604507,0.0739204,8383.766666666666
723,0.7427554,0.2855082,0.05066497,0.0619542,8383.783333333333
723,0.7515459,0.2754106,0.05289002,0.06467504,8383.8
723,0.759025,0.2668533,0.05306967,0.06489471,8383.816666666668
723,0.7670282,0.2576402,0.05038942,0.06161725,8383.833333333334
723,0.7721786,0.2520384,0.04062393,0.04967581,8383.85
723,0.778748,0.2439935,0.03918334,0.04791423,8383.866666666667
723,0.7837769,0.2363161,0.03876375,0.04740114,8383.883333333333
723,0.7891357,0.2266378,0.03934063,0.04810655,8383.9
723,0.7914941,0.222487,0.03330063,0.04072072,8383.916666666666
723,0.7946129,0.2151897,0.03397392,0.04154404,8383.933333333332
723,0.7971812,0.208817,0.03373455,0.04125132,8383.95
723,0.7996249,0.2029042,0.03099269,0.03789853,8383.966666666667
723,0.8011515,0.1988243,0.02280219,0.027883,8383.983333333334
723,0.8042605,0.1908315,0.0240452,0.02940298,8384.0
723,0.8056854,0.1873647,0.01957483,0.02393651,8384.016666666666
723,0.8079637,0.1807542,0.01894588,0.02316742,8384.033333333333
723,0.8088891,0.1779979,0.008531054,0.01043195,8384.05
723,0.810286,0.1717703,0.01833128,0.02241588,8384.066666666668
723,0.8107402,0.1684912,0.02068809,0.02529784,8384.083333333334
723,0.8115583,0.1643783,0.02259121,0.02762501,8384.1
723,0.8121926,0.1624038,0.01629624,0.01992739,8384.116666666667
723,0.8132175,0.1573149,0.02090849,0.02556734,8384.133333333333
723,0.8143977,0.1524114,0.02491748,0.03046963,8384.15
723,0.8154628,0.1477828,0.02660029,0.0325274,8384.166666666666
723,0.8158437,0.1457275,0.02237459,0.02736012,8384.183333333332
723,0.8168322,0.1410423,0.02204115,0.02695239,8384.2
723,0.8176035,0.1360607,0.02279894,0.02787903,8384.216666666667
723,0.8181837,0.1307945,0.022686,0.02774092,8384.233333333334
723,0.818514,0.1282078,0.01706965,0.02087313,8384.25
723,0.8186207,0.1238851,0.01710749,0.0209194,8384.266666666666
723,0.8188521,0.1199518,0.01811912,0.02215644,8384.283333333333
